feature,f-score,odds-ratio,statistical-power,probability-ratio,gini-index,kolmogorov-smirnov,geometric-mean,auc,auprc,mutual-info,deviance,matthews-correlation-coefficient
GENE134X,0.41071428571428575,3.3333333333333335,0.23407828555633348,3.130434782608696,0.36962426437301943,0.15398550724637683,0.5673269810097546,0.5597826086956521,0.2722367182646256,-187.60109866492112,253.62128676917604,0.14675006141172334
GENE135X,0.4190476190476191,4.4,0.1024821885809053,1.341614906832298,0.36962426437301943,0.15036231884057977,0.5742039227726821,0.5558574879227053,0.25558854833950573,-189.31480039902817,253.87951111111107,0.15353995141858573
GENE130X,0.4193548387096774,3.227272727272727,0.13174985763546532,3.130434782608696,0.36962426437301943,0.20410628019323668,0.6009252125773314,0.5564613526570048,0.2642112092659662,-187.746012441157,253.0441763222573,0.17772978562011588
GENE129X,0.4166666666666667,2.2261904761904763,0.13965475074150993,1.639751552795031,0.36962426437301943,0.18659420289855078,0.5866880760256891,0.5673309178743962,0.2593077811602201,-189.0289068377348,253.02051667020976,0.1691153580054737
GENE128X,0.507936507936508,12.434782608695652,0.17654586239834175,3.130434782608696,0.36962426437301943,0.3641304347826087,0.6810052246069989,0.6560990338164251,0.2963247402941316,-187.746012441157,256.17526077097506,0.3143473067309657
GENE127X,0.4,6.761904761904762,0.4236134626280577,6.260869565217392,0.3496357960457856,0.13224637681159424,0.531609533071195,0.4779589371980677,0.25213192339566165,-186.62204925450828,253.95232670146345,0.25946325003864634
GENE126X,0.42424242424242425,4.8474576271186445,0.0640280620930305,1.2842809364548495,0.36962426437301943,0.15398550724637683,0.5646597025732799,0.5286835748792271,0.23375199761973459,-189.31480039902817,253.9683397464916,0.1713890363704601
GENE125X,0.4421052631578948,5.7894736842105265,0.23407828555633348,3.130434782608696,0.36962426437301943,0.20471014492753625,0.5383819020581655,0.4852053140096619,0.2395501799944691,-187.60109866492112,253.88559132203793,0.20471014492753623
GENE124X,0.4222222222222222,3.227272727272727,0.13174985763546532,3.130434782608696,0.36962426437301943,0.1594202898550725,0.5247497678328021,0.5205314009661836,0.2429939716897942,-187.746012441157,253.91880352310673,0.14978121308085277
GENE123X,0.4318181818181819,3.227272727272727,0.13174985763546532,3.130434782608696,0.36962426437301943,0.1871980676328503,0.5461768749626456,0.5283816425120773,0.2431117760474002,-187.746012441157,253.9683397464916,0.17250997885099592
